,M
2130,13250
2131,13905
2132,14489
2133,15000
2134,15434
2135,15791
2136,16067
2137,16261
2138,16373
2139,16403
2140,16349
2141,16212
2142,15992
2143,15692
2144,15312
2145,14854
2146,14321
2147,13716
2148,13041
2149,12299
2150,11496
2151,10633
2152,9717
2153,8752
2154,7742
2155,6693
2156,5610
2157,4499
2158,3365
2159,2214
2160,1051
2161,-117
2162,-1284
2163,-2445
2164,-3593
2165,-4723
2166,-5829
2167,-6906
2168,-7947
2169,-8949
2170,-9904
2171,-10810
2172,-11661
2173,-12452
2174,-13181
2175,-13842
2176,-14434
2177,-14952
2178,-15394
2179,-15758
2180,-16042
2181,-16245
2182,-16366
2183,-16403
2184,-16357
2185,-16229
2186,-16018
2187,-15726
2188,-15353
2189,-14903
2190,-14378
2191,-13779
2192,-13111
2193,-12376
2194,-11578
2195,-10722
2196,-9811
2197,-8851
2198,-7845
2199,-6800
2200,-5720
2201,-4611
2202,-3479
2203,-2329
2204,-1168
2205,0
2206,1168
2207,2329
2208,3479
2209,4611
2210,5720
2211,6800
2212,7845
2213,8851
2214,9811
2215,10722
2216,11579
2217,12376
2218,13111
2219,13779
2220,14378
2221,14903
2222,15353
2223,15726
2224,16018
2225,16229
2226,16358
2227,16403
2228,16366
2229,16246
2230,16043
2231,15759
2232,15394
2233,14952
2234,14434
2235,13842
2236,13181
2237,12453
2238,11661
2239,10810
2240,9905
2241,8949
2242,7948
2243,6906
2244,5830
2245,4723
2246,3593
2247,2445
2248,1284
2249,117
2250,-1051
2251,-2213
2252,-3364
2253,-4499
2254,-5610
2255,-6693
2256,-7742
2257,-8752
2258,-9717
2259,-10633
2260,-11495
2261,-12299
2262,-13040
2263,-13716
2264,-14321
2265,-14854
2266,-15312
2267,-15692
2268,-15992
2269,-16211
2270,-16348
2271,-16402
2272,-16373
2273,-16261
2274,-16066
2275,-15790
2276,-15434
2277,-14999
2278,-14489
2279,-13905
2280,-13250
2281,-12528
2282,-11743
2283,-10897
2284,-9997
2285,-9046
2286,-8049
2287,-7012
2288,-5938
2289,-4835
2290,-3707
2291,-2560
2292,-1400
2293,-233
2294,934
2295,2098
2296,3251
2297,4387
2298,5501
2299,6587
2300,7639
2301,8653
2302,9623
