,M=100Hz,M=200Hz,M=500Hz
1042,12453,-16211,-15092
1043,12299,-16276,-14597
1044,12143,-16327,-14027
1045,11985,-16366,-13387
1046,11824,-16391,-12678
1047,11661,-16403,-11905
1048,11495,-16401,-11071
1049,11328,-16386,-10181
1050,11157,-16357,-9240
1051,10985,-16316,-8252
1052,10810,-16261,-7222
1053,10633,-16193,-6155
1054,10454,-16112,-5058
1055,10273,-16018,-3934
1056,10090,-15911,-2791
1057,9905,-15790,-1633
1058,9717,-15657,-467
1059,9528,-15511,701
1060,9337,-15353,1866
1061,9144,-15183,3021
1062,8949,-15000,4161
1063,8752,-14804,5280
1064,8553,-14597,6372
1065,8353,-14378,7431
1066,8151,-14147,8453
1067,7948,-13905,9433
1068,7742,-13651,10364
1069,7535,-13387,11243
1070,7327,-13111,12064
1071,7117,-12825,12825
1072,6906,-12528,13520
1073,6693,-12221,14147
1074,6479,-11905,14702
1075,6264,-11578,15183
1076,6047,-11243,15586
1077,5830,-10897,15911
1078,5611,-10544,16154
1079,5390,-10181,16316
1080,5169,-9811,16395
1081,4947,-9432,16391
1082,4723,-9046,16304
1083,4499,-8653,16134
1084,4274,-8252,15882
1085,4048,-7845,15549
1086,3821,-7431,15138
1087,3593,-7012,14650
1088,3365,-6586,14088
1089,3136,-6155,13454
1090,2906,-5720,12752
1091,2676,-5279,11985
1092,2445,-4835,11157
1093,2214,-4386,10273
1094,1982,-3934,9337
1095,1750,-3479,8353
1096,1517,-3021,7327
1097,1284,-2560,6264
1098,1051,-2097,5169
1099,818,-1633,4048
1100,584,-1168,2906
1101,351,-701,1749
1102,117,-233,584
1103,-117,234,-584
1104,-350,701,-1749
1105,-584,1168,-2906
1106,-818,1634,-4048
1107,-1051,2098,-5169
1108,-1284,2560,-6264
1109,-1517,3021,-7327
1110,-1749,3479,-8353
1111,-1981,3935,-9337
1112,-2213,4387,-10273
1113,-2445,4835,-11157
1114,-2676,5280,-11985
1115,-2906,5720,-12751
1116,-3135,6156,-13453
1117,-3365,6586,-14088
1118,-3593,7012,-14650
1119,-3821,7431,-15138
1120,-4048,7845,-15549
1121,-4274,8252,-15882
